State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Haryana,Rohtak,Meham,Onion,Other,FAQ,23/04/2025,1200,1200,1200
Haryana,Sonipat,Ganaur,Capsicum,Capsicum,FAQ,23/04/2025,1100,1200,1100
Haryana,Sonipat,Ganaur,Cauliflower,Other,FAQ,23/04/2025,1400,1500,1400
Haryana,Sonipat,Ganaur,Coriander(Leaves),Coriander,FAQ,23/04/2025,2400,2500,2400
Haryana,Sonipat,Ganaur,"Peas Wet","Peas Wet",FAQ,23/04/2025,4500,5000,4800
Haryana,Sonipat,Ganaur,Pumpkin,Pumpkin,FAQ,23/04/2025,900,1000,1000
Haryana,Sonipat,Ganaur,Spinach,Spinach,FAQ,23/04/2025,1400,1500,1400
Haryana,Sonipat,Gohana,Cucumbar(Kheera),Other,FAQ,23/04/2025,1000,3000,2000
Haryana,Sonipat,Gohana,Potato,Other,Non-FAQ,23/04/2025,800,2000,1000
Haryana,Sonipat,Sonepat,Brinjal,Other,FAQ,23/04/2025,1100,1400,1100
Haryana,Sonipat,Sonepat,Cauliflower,Other,FAQ,23/04/2025,1000,1500,1000
Haryana,Sonipat,Sonepat,"Green Chilli",Other,FAQ,23/04/2025,2500,3500,2500
Haryana,Sonipat,Sonepat,Potato,Other,FAQ,23/04/2025,900,1200,900
Haryana,Sonipat,Sonepat,Pumpkin,Other,FAQ,23/04/2025,1000,1200,1000
Haryana,"Yamuna Nagar",Chhachrauli,"Bottle gourd","Bottle Gourd",FAQ,23/04/2025,500,800,500
Haryana,"Yamuna Nagar",Chhachrauli,Cucumbar(Kheera),Cucumbar,FAQ,23/04/2025,800,1400,800
Haryana,"Yamuna Nagar",Chhachrauli,"Green Chilli","Green Chilly",FAQ,23/04/2025,3500,3500,3500
Haryana,"Yamuna Nagar",Chhachrauli,Onion,Onion,FAQ,23/04/2025,1500,1800,1500
Haryana,"Yamuna Nagar",Chhachrauli,Pumpkin,Pumpkin,FAQ,23/04/2025,500,600,500
Haryana,"Yamuna Nagar",Mustafabad,Cucumbar(Kheera),Other,FAQ,23/04/2025,500,700,700
Haryana,"Yamuna Nagar",Radaur,Banana,Other,Medium,23/04/2025,3000,3800,3500
Haryana,"Yamuna Nagar",Radaur,"Bhindi(Ladies Finger)",Other,FAQ,23/04/2025,2200,2600,2400
Haryana,"Yamuna Nagar",Radaur,"Bottle gourd",Other,FAQ,23/04/2025,400,600,500
Haryana,"Yamuna Nagar",Radaur,Capsicum,Capsicum,FAQ,23/04/2025,600,1000,900
Haryana,"Yamuna Nagar",Radaur,Cauliflower,Other,FAQ,23/04/2025,1500,1700,1600
Haryana,"Yamuna Nagar",Radaur,Ginger(Green),Other,FAQ,23/04/2025,3700,4000,3800
Haryana,"Yamuna Nagar",Radaur,"Green Chilli",Other,FAQ,23/04/2025,1500,2000,1800
Haryana,"Yamuna Nagar",Radaur,Potato,Other,FAQ,23/04/2025,800,900,850
Haryana,"Yamuna Nagar",Radaur,Spinach,Other,FAQ,23/04/2025,600,800,700
